lng,lat,class,count
116.46000000000001,39.9,淫秽广告,200
116.45,39.910000000000004,淫秽广告,257
116.45,39.9,淫秽广告,353
116.45,39.94,淫秽广告,85
116.43,39.980000000000004,淫秽广告,20
116.45,39.95,淫秽广告,81
116.46000000000001,39.93,淫秽广告,79
116.46000000000001,39.92,淫秽广告,160
116.44,39.96,代开发票或办证,52
116.41,39.85,代开发票或办证,98
116.42,39.85,代开发票或办证,126
116.4,39.84,代开发票或办证,100
116.49000000000001,39.9,代开发票或办证,108
116.46000000000001,39.93,代开发票或办证,116
116.45,39.93,代开发票或办证,49
116.45,39.92,代开发票或办证,65
116.46000000000001,39.92,代开发票或办证,194
116.47,39.92,代开发票或办证,60
116.41,39.79,房产广告,8
116.43,39.800000000000004,房产广告,24
116.44,39.800000000000004,房产广告,20
116.45,39.800000000000004,房产广告,24
116.48,39.89,代开发票或办证,177
116.47,39.86,代开发票或办证,57
116.47,39.87,代开发票或办证,67
116.48,39.93,代开发票或办证,83
116.49000000000001,39.93,代开发票或办证,57
116.5,39.87,代开发票或办证,29
116.51,39.87,代开发票或办证,8
116.45,39.87,代开发票或办证,192
116.45,39.88,代开发票或办证,208
116.58,39.94,代开发票或办证,1
116.48,39.9,代开发票或办证,87
116.46000000000001,39.88,代开发票或办证,422
116.64,39.9,代开发票或办证,30
116.63,39.9,代开发票或办证,66
116.48,39.910000000000004,代开发票或办证,175
116.48,39.92,代开发票或办证,120
116.34,39.97,代开发票或办证,6
116.3,39.97,代开发票或办证,20
116.46000000000001,39.93,贷款广告,32
116.5,39.93,代开发票或办证,61
116.5,39.96,代开发票或办证,58
116.5,39.95,代开发票或办证,16
116.45,39.910000000000004,代开发票或办证,58
116.3,39.980000000000004,代开发票或办证,33
116.59,39.910000000000004,代开发票或办证,44
116.58,39.910000000000004,代开发票或办证,77
116.49000000000001,39.980000000000004,代开发票或办证,12
116.48,39.980000000000004,代开发票或办证,134
116.48,39.97,代开发票或办证,99
116.44,39.84,代开发票或办证,70
116.49000000000001,39.92,代开发票或办证,46
116.43,39.85,代开发票或办证,102
116.47,39.88,代开发票或办证,90
116.46000000000001,39.86,代开发票或办证,92
116.46000000000001,39.89,代开发票或办证,325
116.28,40.02,代开发票或办证,5
116.27,40.01,代开发票或办证,2
116.55,39.9,代开发票或办证,19
116.32000000000001,39.79,代开发票或办证,35
116.33,39.800000000000004,代开发票或办证,10
116.42,39.980000000000004,其它广告,4
116.5,39.86,代开发票或办证,31
116.49000000000001,39.85,代开发票或办证,24
116.31,39.92,代开发票或办证,24
116.43,39.86,代开发票或办证,185
116.46000000000001,39.9,代开发票或办证,115
116.46000000000001,39.87,代开发票或办证,230
116.34,39.72,冒充机构诈骗,90
116.35000000000001,39.7,冒充机构诈骗,4
116.35000000000001,39.71,冒充机构诈骗,3
116.45,39.89,代开发票或办证,79
116.41,39.980000000000004,其它广告,3
116.4,40.01,其它广告,1
116.36,39.83,代开发票或办证,46
116.35000000000001,39.83,代开发票或办证,37
116.49000000000001,39.88,代开发票或办证,9
116.47,39.9,代开发票或办证,98
116.47,39.89,代开发票或办证,218
116.49000000000001,39.910000000000004,代开发票或办证,195
116.28,39.85,代开发票或办证,39
116.49000000000001,39.95,代开发票或办证,54
116.68,39.87,代开发票或办证,25
116.69,39.87,代开发票或办证,4
116.44,39.87,代开发票或办证,40
116.44,39.88,代开发票或办证,42
116.52,39.910000000000004,代开发票或办证,67
116.46000000000001,39.92,贷款广告,4
116.43,39.89,代开发票或办证,30
116.48,39.86,代开发票或办证,38
116.45,39.83,代开发票或办证,26
116.55,39.910000000000004,代开发票或办证,76
116.53,39.910000000000004,代开发票或办证,26
116.47,39.88,房产广告,49
116.41,40.04,代开发票或办证,61
116.46000000000001,39.87,冒充机构诈骗,212
116.5,39.9,其它广告,6
116.5,39.910000000000004,其它广告,1
116.5,39.93,其它广告,14
116.28,40.01,代开发票或办证,18
116.57000000000001,39.92,冒充机构诈骗,20
116.37,39.83,代开发票或办证,71
116.38,39.83,代开发票或办证,99
116.56,39.9,代开发票或办证,8
116.48,39.92,贷款广告,39
116.29,39.9,代开发票或办证,20
116.60000000000001,39.92,冒充机构诈骗,143
116.59,39.92,冒充机构诈骗,91
116.44,39.83,代开发票或办证,42
116.42,40.03,代开发票或办证,14
116.4,39.96,冒充机构诈骗,80
116.32000000000001,39.88,冒充机构诈骗,59
116.31,39.88,冒充机构诈骗,70
116.37,39.85,代开发票或办证,79
116.37,39.84,代开发票或办证,40
116.45,39.88,冒充机构诈骗,69
116.28,39.85,冒充机构诈骗,59
116.27,39.85,冒充机构诈骗,6
116.38,39.84,代开发票或办证,96
116.39,39.85,代开发票或办证,248
116.38,39.85,代开发票或办证,99
116.48,39.88,代开发票或办证,32
116.14,39.74,代开发票或办证,40
116.33,39.96,代开发票或办证,13
116.32000000000001,39.95,代开发票或办证,12
116.32000000000001,39.96,代开发票或办证,19
116.33,39.77,代开发票或办证,13
116.33,39.76,代开发票或办证,12
116.35000000000001,39.71,代开发票或办证,5
116.36,39.72,代开发票或办证,3
116.35000000000001,39.72,代开发票或办证,7
116.36,39.71,代开发票或办证,2
116.36,39.72,冒充机构诈骗,6
116.35000000000001,39.72,冒充机构诈骗,8
116.36,39.71,冒充机构诈骗,2
116.60000000000001,39.910000000000004,冒充机构诈骗,54
116.60000000000001,39.9,冒充机构诈骗,15
116.65,39.89,代开发票或办证,13
116.65,39.88,代开发票或办证,24
116.66,39.88,代开发票或办证,38
116.18,39.74,代开发票或办证,13
116.46000000000001,39.94,淫秽广告,115
116.45,39.93,淫秽广告,55
116.4,39.97,代开发票或办证,19
116.59,39.86,代开发票或办证,4
116.69,39.85,代开发票或办证,3
116.69,39.86,代开发票或办证,9
116.7,39.86,代开发票或办证,4
116.4,39.85,代开发票或办证,100
116.39,39.84,代开发票或办证,62
116.38,39.96,代开发票或办证,80
116.45,39.9,房产广告,13
116.47,39.9,房产广告,150
116.34,39.980000000000004,冒充机构诈骗,37
116.33,39.980000000000004,冒充机构诈骗,4
116.4,39.83,代开发票或办证,22
116.51,39.87,房产广告,6
116.51,39.86,房产广告,7
116.52,39.86,房产广告,2
116.53,39.87,房产广告,2
116.34,39.77,代开发票或办证,7
116.34,39.78,代开发票或办证,28
116.34,39.76,代开发票或办证,9
116.3,39.75,代开发票或办证,5
116.31,39.74,代开发票或办证,7
116.5,40.0,代开发票或办证,39
116.43,39.980000000000004,其它广告,2
116.56,39.95,代开发票或办证,21
116.52,39.93,代开发票或办证,4
